"","Nombre","Altitud(msnm)","Superficie(km2)","Poblacion(hab)","Densidad_pob(hab/km2)","Latitud","Longitud","Pais"
"1","A Lama",478,111.76,2445,21.88,42.396854,-8.442307,"España"
"2","Mos",399,59,15078,255.56,42.2137733,-8.6312084,"España"
"3","O Porriño",109,61.2,19848,324.31,42.1618689,-8.6201899,"España"
"4","Ourense",138,85.2,105233,1235.13,42.336388888889,-7.8633333333333,"España"
"5","Ribadavia",95,25.1,5024,200.16,42.287777777778,-8.1425,"España"
"6","Soutomaior",239,24.99,7395,295.92,42.33863915,-8.57271862631,"España"
"7","Vigo",62,109.06,295364,2708.27,42.235833333333,-8.7266666666667,"España"
"8","Astorga",869,46.78,10867,232.3,42.4575,-6.0569444444444,"España"
"9","Betanzos",36,24.19,12959,535.72,43.2791691,-8.2106329,"España"
"10","Bilbao",6,41.6,346843,8337.57,43.262222222222,-2.9533333333333,"España"
"11","Bordeaux",11,49.36,254436,5154.7,44.837777777778,-0.57944444444444,"Francia"
"12","Burgos",859,107.08,175821,1641.96,42.340833333333,-3.6997222222222,"España"
"13","Castro-Urdiales",19,96.72,32069,331.57,43.384444444444,-3.215,"España"
"14","Collado Villalba",917,25.22,63679,2524.94,40.645277777778,-3.9913888888889,"España"
"15","Cáceres",457,1750.33,96126,54.92,39.473055555556,-6.3711111111111,"España"
"16","Ferrol",50,82.65,66065,799.33,43.466666666667,-8.25,"España"
"17","Fisterra",30,29.43,4708,159.97,42.908611111111,-9.2627777777778,"España"
"18","Gijón/Xixón",3,181.7,271780,1495.76,43.52931,-5.67732,"España"
"19","Huelva",24,151.33,143663,949.34,37.25,-6.95,"España"
"20","Las Rozas de Madrid",718,59.14,95814,1620.12,40.491666666667,-3.8733333333333,"España"
"21","León",837,39.03,124303,3184.81,42.598888888889,-5.5669444444444,"España"
"22","Logroño",384,79.55,151136,1899.89,42.47,-2.4455555555556,"España"
"23","Lugo",462,329.78,98276,298,43.011666666667,-7.5572222222222,"España"
"24","Madrid",657,604.45,3266126,5265.91,40.418888888889,-3.6919444444444,"España"
